company_id,ticker,sector,driver_family,feature,horizon_label,predictor_available_date,outcome_available_date,current,lag_delta,cycle_position_score,gap,wrong_sector_gap,random_driver_gap,delta
005,PG,30,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.226,0.000,0.46,0.005,0.050,0.008,0.003
006,CL,30,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.218,0.001,0.47,0.007,0.053,-0.004,0.005
007,MSFT,45,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.365,0.004,0.65,0.072,0.015,0.006,0.033
008,AAPL,45,margin,ebitda_margin,2Y,2015-03-31,2017-03-31,0.330,0.003,0.62,0.066,0.018,-0.008,0.029
001,HD,25,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.150,0.001,0.52,0.047,-0.012,-0.005,0.017
002,LOW,25,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.136,0.001,0.50,0.041,-0.011,0.003,0.014
003,ROST,25,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.173,0.002,0.57,0.058,-0.018,0.007,0.024
004,TJX,25,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.166,0.002,0.55,0.054,-0.020,-0.006,0.021
005,PG,30,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.228,0.000,0.45,0.006,0.048,0.011,0.004
006,CL,30,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.220,0.001,0.46,0.008,0.046,-0.007,0.006
007,MSFT,45,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.372,0.004,0.66,0.075,0.020,0.005,0.035
008,AAPL,45,margin,ebitda_margin,2Y,2017-03-31,2019-03-31,0.334,0.003,0.63,0.069,0.018,-0.009,0.031
001,HD,25,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.148,0.001,0.51,0.043,-0.014,0.002,0.014
002,LOW,25,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.134,0.000,0.49,0.038,-0.012,-0.004,0.011
003,ROST,25,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.171,0.002,0.56,0.055,-0.019,0.005,0.022
004,TJX,25,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.164,0.002,0.54,0.052,-0.021,-0.005,0.019
005,PG,30,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.230,0.000,0.44,0.004,0.044,0.010,0.002
006,CL,30,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.222,0.001,0.45,0.006,0.045,-0.008,0.004
007,MSFT,45,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.374,0.003,0.64,0.070,0.016,0.006,0.031
008,AAPL,45,margin,ebitda_margin,2Y,2019-03-31,2021-03-31,0.336,0.002,0.61,0.064,0.014,-0.010,0.027
